candidate_id,source,parent_event_id,charge,x_hit_m,slope_rad,energy_gev
0.0,signal_electron,6.0,1.0,-0.02046171462898928,-0.013339113376025124,0.22639835529919405
1.0,signal_electron,6.0,-1.0,0.02046171462898928,0.013339113376025124,0.21366029402468165
2.0,signal_electron,21.0,1.0,0.04829134377514669,0.016375722939842494,0.16193110544961495
3.0,signal_electron,21.0,-1.0,-0.04829134377514669,-0.016375722939842494,0.24845079769243641
4.0,signal_electron,24.0,1.0,-0.029994274711801865,-0.01595405626911439,0.2575132066262093
5.0,signal_electron,24.0,-1.0,0.029994274711801865,0.01595405626911439,0.1879455738041264
6.0,signal_electron,25.0,1.0,-0.010924100049687416,-0.002447147061922145,0.18450669363559696
7.0,signal_electron,25.0,-1.0,0.010924100049687416,0.002447147061922145,0.1867028700731873
8.0,signal_electron,30.0,1.0,0.07340389404538265,0.016388958064464672,0.21694569807515632
9.0,signal_electron,30.0,-1.0,-0.07340389404538265,-0.016388958064464672,0.2093714005213138
10.0,signal_electron,51.0,1.0,0.11391007523400007,0.04170482690838922,0.09585707798640263
11.0,signal_electron,51.0,-1.0,-0.11391007523400007,-0.04170482690838922,0.08018494768309439
12.0,signal_electron,53.0,1.0,0.14907166568219027,0.03417335434403849,0.1403562556076942
13.0,signal_electron,53.0,-1.0,-0.14907166568219027,-0.03417335434403849,0.13914255012529403
14.0,signal_electron,67.0,1.0,0.09232237590838925,0.032529718008171,0.19418186353867423
15.0,signal_electron,67.0,-1.0,-0.09232237590838925,-0.032529718008171,0.12470153163158093
16.0,signal_electron,73.0,1.0,0.00925676003690551,0.013957879514028078,0.264135076325049
17.0,signal_electron,73.0,-1.0,-0.00925676003690551,-0.013957879514028078,0.19682418173962943
18.0,signal_electron,81.0,1.0,0.12229795076129647,0.026649655857856964,0.12149287474719465
19.0,signal_electron,81.0,-1.0,-0.12229795076129647,-0.026649655857856964,0.1006003795317778
20.0,signal_electron,87.0,1.0,0.039166300519539975,0.010964537712618143,0.19578682601683486
21.0,signal_electron,87.0,-1.0,-0.039166300519539975,-0.010964537712618143,0.20082179914403722
22.0,signal_electron,88.0,1.0,0.0637840692663342,0.01489377958460586,0.17196663722276556
23.0,signal_electron,88.0,-1.0,-0.0637840692663342,-0.01489377958460586,0.19437303936390438
24.0,signal_electron,99.0,1.0,-0.058516479077827865,-0.022867795989358838,0.254685913877885
25.0,signal_electron,99.0,-1.0,0.058516479077827865,0.022867795989358838,0.18430554937214155
26.0,signal_electron,118.0,1.0,-0.07005886681748254,-0.02262009130535976,0.1832862876453955
27.0,signal_electron,118.0,-1.0,0.07005886681748254,0.02262009130535976,0.16332464608021743
28.0,signal_electron,157.0,1.0,0.03760513603399808,0.019606684006260137,0.13448523179895033
29.0,signal_electron,157.0,-1.0,-0.03760513603399808,-0.019606684006260137,0.1735803275293941
30.0,signal_electron,164.0,1.0,-0.1394604826020044,-0.031045423162947852,0.1202668921554816
31.0,signal_electron,164.0,-1.0,0.1394604826020044,0.031045423162947852,0.17773103132195833
32.0,signal_electron,165.0,1.0,-0.03163640411298919,-0.01042860547143793,0.18585018007599913
33.0,signal_electron,165.0,-1.0,0.03163640411298919,0.01042860547143793,0.2527242206694409
34.0,signal_electron,167.0,1.0,-0.08014943172723915,-0.02601095169371352,0.19091104345466806
35.0,signal_electron,167.0,-1.0,0.08014943172723915,0.02601095169371352,0.13525467161807617
36.0,signal_electron,177.0,1.0,0.024846908763951254,0.01570228187824144,0.16607295284648144
37.0,signal_electron,177.0,-1.0,-0.024846908763951254,-0.01570228187824144,0.20426231678544118
38.0,signal_electron,180.0,1.0,0.018600483297635577,0.004202163636272225,0.17005495593034556
39.0,signal_electron,180.0,-1.0,-0.018600483297635577,-0.004202163636272225,0.25048444474875714
40.0,signal_electron,188.0,1.0,-0.04465890102679555,-0.012148259191534335,0.2170425965967693
41.0,signal_electron,188.0,-1.0,0.04465890102679555,0.012148259191534335,0.25146609992278685
42.0,signal_electron,191.0,1.0,-0.04270399988095184,-0.012123500876171468,0.19215013466453237
43.0,signal_electron,191.0,-1.0,0.04270399988095184,0.012123500876171468,0.25871709758155687
44.0,signal_electron,196.0,1.0,0.059680906328389474,0.024927103802565284,0.12586271324227746
45.0,signal_electron,196.0,-1.0,-0.059680906328389474,-0.024927103802565284,0.1587563810659258
46.0,signal_electron,208.0,1.0,0.03926237500003476,0.020567542952184357,0.1638910212798764
47.0,signal_electron,208.0,-1.0,-0.03926237500003476,-0.020567542952184357,0.2389988384243883
48.0,signal_electron,217.0,1.0,-0.09069144634606516,-0.02323514668899297,0.1121536840626537
49.0,signal_electron,217.0,-1.0,0.09069144634606516,0.02323514668899297,0.07897400398103069
50.0,signal_electron,221.0,1.0,-0.011236862679048616,-0.005806805030471922,0.0796388805998856
51.0,signal_electron,221.0,-1.0,0.011236862679048616,0.005806805030471922,0.09752323791765004
52.0,signal_electron,244.0,1.0,-0.0182931836375311,-0.021632785886470583,0.18334405794261327
53.0,signal_electron,244.0,-1.0,0.0182931836375311,0.021632785886470583,0.1828602885636276
54.0,signal_electron,270.0,1.0,0.09588321690885093,0.026057088032692653,0.12625043209150047
55.0,signal_electron,270.0,-1.0,-0.09588321690885093,-0.026057088032692653,0.15802138585762684
56.0,signal_electron,272.0,1.0,-0.026213722198620393,-0.005929667492074067,0.24392407257613882
57.0,signal_electron,272.0,-1.0,0.026213722198620393,0.005929667492074067,0.19921683641062357
58.0,signal_electron,274.0,1.0,-0.03628578442578184,-0.015054180221417756,0.17070229420861782
59.0,signal_electron,274.0,-1.0,0.03628578442578184,0.015054180221417756,0.2399377401548193
60.0,signal_electron,276.0,1.0,-0.08649477894572526,-0.0202664485472097,0.17715548064208742
61.0,signal_electron,276.0,-1.0,0.08649477894572526,0.0202664485472097,0.1531661789169753
62.0,signal_electron,282.0,1.0,0.06069484447015272,0.016266891327057127,0.23542103410231868
63.0,signal_electron,282.0,-1.0,-0.06069484447015272,-0.016266891327057127,0.24999691312730132
64.0,signal_electron,290.0,1.0,0.01815473260666061,0.007754879310882502,0.20510273319284578
65.0,signal_electron,290.0,-1.0,-0.01815473260666061,-0.007754879310882502,0.19628098181266018
66.0,signal_electron,308.0,1.0,-0.019407666967402863,-0.012795230378637952,0.18548084969986953
67.0,signal_electron,308.0,-1.0,0.019407666967402863,0.012795230378637952,0.23684650320409634
68.0,signal_electron,310.0,1.0,0.043914526078290404,0.015992387895808396,0.22845917650832084
69.0,signal_electron,310.0,-1.0,-0.043914526078290404,-0.015992387895808396,0.18888436967505812
70.0,signal_electron,313.0,1.0,-0.127724186084487,-0.02837506466594779,0.17128183176819
71.0,signal_electron,313.0,-1.0,0.127724186084487,0.02837506466594779,0.11652251752983601
72.0,signal_electron,324.0,1.0,-0.10025522038404361,-0.027692351096494164,0.1531128893638951
73.0,signal_electron,324.0,-1.0,0.10025522038404361,0.027692351096494164,0.11630486698205052
74.0,signal_electron,330.0,1.0,-0.0381721052731461,-0.026469578057961945,0.23869732459646031
75.0,signal_electron,330.0,-1.0,0.0381721052731461,0.026469578057961945,0.1492984345812834
76.0,signal_electron,331.0,1.0,-0.024851695642585412,-0.018177697376669247,0.23168040158066022
