mass_mev,epsilon,production_probability,mean_decay_probability,mean_reco_probability,expected_produced,expected_decays,expected_signal,expected_background,signal_to_background,significance
5.0,1e-07,4.0318959685851904e-12,3.861735477767052e-05,1.3110770623505572e-05,40.3189596858519,0.0015570115704551378,0.0005286126322195725,232170.09752311738,2.2768333986978582e-09,1.1383554121299088e-08
5.0,3e-07,3.628706371726672e-11,0.00034511549094372416,0.00011684273127725112,362.8706371726672,0.12523227809690704,0.04239879634757085,232170.09752311738,1.8261953972496033e-07,9.130485415642328e-07
5.0,1e-06,4.031895968585191e-10,0.0038294854165002745,0.0012977731333935864,4031.895968585191,15.440086812543237,5.232486264667773,232170.09752311738,2.253729623448502e-05,0.00011268041464067429
5.0,3e-06,3.6287063717266727e-09,0.03330510364019456,0.011268701807343927,36287.06371726673,1208.544417901912,408.9081004939678,232170.09752311738,0.0017612436091312426,0.008805743958606706
5.0,1e-05,4.031895968585192e-08,0.2539378407557032,0.08431812066098464,403189.59685851925,102385.09564141482,33996.18907717038,232170.09752311738,0.14642793985898786,0.7321002841966455
5.0,3e-05,3.628706371726673e-07,0.19065841432105904,0.059595858575014656,3628706.371726673,691843.402870131,216255.87173967736,232170.09752311738,0.93145445536174,4.657021550281033
5.0,0.0001,4.031895968585192e-06,3.5831426893181444e-07,1.0358626751344361e-07,40318959.685851924,14.44685856392733,4.176490543882406,232170.09752311738,1.798892531139394e-05,8.993978434406941e-05
10.0,1e-07,3.926379544883152e-12,0.00015260730291889057,6.355038399702234e-05,39.26379544883152,0.005991941925805189,0.0024952292779537814,128804.42626933272,1.937223238537009e-08,9.685176327233813e-08
10.0,3e-07,3.533741590394838e-11,0.0013882651468675035,0.0005798337384225442,353.3741590394838,0.49057702879812953,0.20489825969778658,128804.42626933272,1.5907703301231285e-06,7.953079870655344e-06
10.0,1e-06,3.926379544883153e-10,0.01504191123951544,0.006265238021441786,3926.3795448831534,59.060252606781425,24.59970241121323,128804.42626933272,0.00019098491506630948,0.0009548319168708151
10.0,3e-06,3.5337415903948386e-09,0.11896185591794867,0.04945050116662919,35337.415903948386,4203.804579278136,1747.4529263838606,128804.42626933272,0.013566714879268981,0.06782699235337325
10.0,1e-05,3.9263795448831546e-08,0.3545910712527689,0.1434458555778422,392637.95448831544,139225.91289650768,56322.287313910274,128804.42626933272,0.4372698124219676,2.186136915785456
10.0,3e-05,3.533741590394839e-07,0.003082033475429878,0.0011870765300259134,3533741.590394839,10891.10987511571,4194.821705134158,128804.42626933272,0.032567372307242756,0.16282106111246286
10.0,0.0001,3.926379544883154e-06,1.2771775197398904e-24,4.772652027454231e-25,39263795.44883154,5.0146836886913065e-17,1.873924329544141e-17,128804.42626933272,1.4548601968271854e-22,7.273595142491985e-22
20.0,1e-07,3.724625637175462e-12,0.0006118993856391626,0.0002892863194094479,37.24625637175462,0.022790961391235397,0.01077483241756559,71458.72962783258,1.507839906150372e-07,7.537881073591008e-07
20.0,3e-07,3.352163073457916e-11,0.005511633811008996,0.002607916019385474,335.2163073457916,1.8475895335686485,0.8742159778863345,71458.72962783258,1.2233858374468424e-05,6.11585945707832e-05
