track_id,x0_m,slope_rad,x_at_detector_m,passed_veto,cherenkov_rejected,survives_cherenkov,misidentified_as_electron,fake_charge,fake_energy_gev
0.0,-0.007868085840279523,0.01333066089753338,0.08278040826294746,False,False,False,False,0.0,
1.0,-0.036666962358355426,-0.002405710553803814,-0.05302579412422136,False,False,False,False,0.0,
2.0,0.021237803678817096,0.0021778976010476694,0.03604750736594125,False,False,False,False,0.0,
3.0,0.01978817903527907,0.003308486371040899,0.042285886358357186,False,False,False,False,0.0,
4.0,0.005164573090027332,0.022745437475001185,0.15983354792003537,False,False,False,False,0.0,
5.0,0.03064130764397602,0.020866912985182128,0.17253631594321447,False,False,False,False,0.0,
6.0,-0.0048246607338316904,0.005522406188221372,0.03272770134607364,False,False,False,False,0.0,
7.0,-0.02130963930517628,0.01868069595318242,0.10571909317646418,False,False,False,False,0.0,
8.0,-0.012308805608275922,-0.009077628459187624,-0.07403667913075176,False,False,False,False,0.0,
9.0,-0.01676293055871658,0.007240452898684024,0.03247214915233479,False,False,False,False,0.0,
10.0,-0.0019014702231052241,0.02382765715341834,0.1601265984201395,False,False,False,False,0.0,
11.0,0.004291673990310339,-0.019054269039532265,-0.12527735547850907,False,False,False,False,0.0,
12.0,0.004172217081854746,0.004862174744311262,0.037235005343171326,False,False,False,False,0.0,
13.0,0.0159227884160411,0.010230291414316339,0.0854887700333922,False,False,False,False,0.0,
14.0,-0.0007421208441609924,-0.009225880974034383,-0.0634781114675948,False,False,False,False,0.0,
15.0,-0.0325180014398177,-0.030849791888389308,-0.24229658628086498,False,False,False,False,0.0,
16.0,-0.0039377884241939345,-0.003954187472895713,-0.03082626323988478,False,False,False,False,0.0,
17.0,-0.03697510009566695,0.025333597512176714,0.13529336298713468,False,False,False,False,0.0,
18.0,-0.0068322512049013686,-0.006931753405624734,-0.05396817436314956,False,False,False,False,0.0,
19.0,0.014708753681749613,-0.01633243964331336,-0.09635183589278123,False,False,False,False,0.0,
20.0,-0.019749001651802198,0.0015125743459129103,-0.009463496099594407,False,False,False,False,0.0,
21.0,0.011256125212227464,-0.00331018822241193,-0.01125315470017366,False,False,False,False,0.0,
22.0,-0.012392468765405165,-0.029812656162670034,-0.2151185306715614,False,False,False,False,0.0,
23.0,-0.030639988484679963,0.011660632072387782,0.04865230960755696,False,False,False,False,0.0,
24.0,-0.0028617585127265898,-0.0015861237444500216,-0.013647399974986736,False,False,False,False,0.0,
25.0,-0.01954985936178708,-0.00679498733042902,-0.06575577320870442,False,False,False,False,0.0,
26.0,0.029423851977416104,-0.0041585534244358915,0.0011456886912520406,False,False,False,False,0.0,
27.0,-0.028889865966993385,-0.020754162887133058,-0.17001817359949817,False,False,False,False,0.0,
28.0,0.013611339767354784,0.0029407598476383395,0.03360850673129549,False,False,False,False,0.0,
29.0,0.022317273084688973,0.00287996412156306,0.04190102911131778,False,False,False,False,0.0,
30.0,-0.025454596858483662,-0.004922254563029475,-0.05892592788708409,False,False,False,False,0.0,
31.0,-0.0038487989053820715,0.002936985363721352,0.01612270156792312,False,False,False,False,0.0,
32.0,0.008832416696145854,-0.002459912062256287,-0.007894985327196897,False,False,False,False,0.0,
33.0,0.04325095184889794,0.009005599900518342,0.10448903117242267,False,False,False,False,0.0,
34.0,0.01936221000520189,-0.03501658718503597,-0.2187505828530427,False,False,False,False,0.0,
35.0,-0.01392035050841834,0.002004430510120348,-0.0002902230395999735,False,False,False,False,0.0,
36.0,0.01791900300138647,0.024541046827221684,0.1847981214264939,False,False,False,False,0.0,
37.0,0.04415663479361031,0.02196603153500652,0.19352564923165463,False,False,False,False,0.0,
38.0,-0.011857853263385159,0.007182296058094729,0.036981759931659,False,False,False,False,0.0,
39.0,0.008784180981907964,-0.0021167012621167262,-0.005609387600485774,False,False,False,False,0.0,
40.0,0.0033804694294779676,5.803429177486962e-05,0.003775102613547081,False,False,False,False,0.0,
41.0,-0.009016836852800938,-0.002857182298595777,-0.02844567648325222,False,False,False,False,0.0,
42.0,-0.025880768527655484,-0.039578128413676625,-0.29501204174065654,False,False,False,False,0.0,
43.0,-0.010300973080407227,-0.007708640996111841,-0.06271973185396774,False,False,False,False,0.0,
44.0,-0.0047875681598321404,-0.014540603251402313,-0.10366367026936786,False,False,False,False,0.0,
45.0,0.013554318931165193,0.011839166906367245,0.09406065389446246,False,False,False,False,0.0,
46.0,0.019267256781862193,0.0032274183227169115,0.04121370137633719,False,False,False,False,0.0,
47.0,-0.01935621183765085,0.018010303316294125,0.1031138507131492,False,False,False,False,0.0,
48.0,0.017186635605426756,-0.01392125912111212,-0.07747792641813565,False,False,False,False,0.0,
49.0,0.0052584613040297015,-0.0006637974658343918,0.0007446385363558371,False,False,False,False,0.0,
50.0,0.009306543088358935,0.00633338375269828,0.052373552606707244,False,False,False,False,0.0,
51.0,0.03872322467799732,-0.0102145649952608,-0.03073581728977611,False,False,False,False,0.0,
52.0,0.011918424340165544,0.014451770981556528,0.11019046701474994,False,False,False,False,0.0,
53.0,-0.01931316117683407,-0.014109130154150674,-0.11525524622505866,False,False,False,False,0.0,
54.0,0.0024188113554536187,-0.016316474768906332,-0.10853321707310944,False,False,False,False,0.0,
55.0,0.02600407508311124,0.02476364416940888,0.1943968554350916,False,False,False,False,0.0,
56.0,0.003467261341860463,0.003914824927061689,0.030088070845879944,False,False,False,False,0.0,
57.0,-0.044763919187383934,-0.008870638884630072,-0.10508426360286843,False,False,False,False,0.0,
58.0,0.034806102782327424,0.008490381953489846,0.09254070006605838,False,False,False,False,0.0,
59.0,0.0124012725094068,0.001800568804003307,0.024645140376629286,False,False,False,False,0.0,
60.0,-0.0035035250980892593,-0.015742215312748387,-0.11055058922477828,False,False,False,False,0.0,
61.0,-0.0035607713843632213,0.0011700632477272294,0.004395658700181939,False,False,False,False,0.0,
62.0,0.017763783189176575,-0.004537285009520183,-0.013089754875560664,False,False,False,False,0.0,
63.0,0.003197130699216175,0.01934100914498836,0.13471599288513703,False,False,False,False,0.0,
64.0,-0.00812832502237514,0.016066629205320135,0.10112475357380178,False,False,False,False,0.0,
