event_id,energy_gev,mean_decay_length_m,decay_z_m,opening_angle_rad,in_decay_volume,detected,x_plus_at_detector_m,x_minus_at_detector_m,slope_plus_rad,slope_minus_rad,energy_plus_gev,energy_minus_gev
0.0,0.18581160229487645,1.5074157662827468,0.1375123230592583,0.1038644877717431,False,False,,,,,,
1.0,0.4559931069725326,3.6992910575940083,0.14390455718141712,0.0446837480281049,False,False,,,,,,
2.0,0.4461570175324234,3.619494768678434,0.6296167586151221,0.041222349374721245,False,False,,,,,,
3.0,0.28567739886100585,2.317587329290251,0.003874891316794236,0.06835130693171401,False,False,,,,,,
4.0,0.3898920914644338,3.163039759431902,0.22912554588681833,0.04573417581753312,False,False,,,,,,
5.0,0.45682164379071466,3.706012647888953,0.3607924982426704,0.045307707801485936,False,False,,,,,,
6.0,0.4432505188851734,3.595915498969586,5.266036380966229,0.03442499024049176,True,True,-0.02046171462898928,0.02046171462898928,-0.013339113376025124,0.013339113376025124,0.22639835529919405,0.21366029402468165
7.0,0.3366479242464918,2.7310909675607182,4.005271845979554,0.06023976361002739,True,False,-0.04210531295179913,0.04210531295179913,-0.015065978024097688,0.015065978024097688,0.18845735368139968,0.13997301896880665
8.0,0.3294931469021172,2.6730470992556747,0.08649784164782105,0.06752337462701906,False,False,,,,,,
9.0,0.43961631981694793,3.5664326846264887,8.735260477814444,0.04856678796922017,False,False,,,,,,
10.0,0.31766679578275986,2.577104607426647,1.2788997039107475,0.04808524017042249,False,False,,,,,,
11.0,0.3839046007958369,3.1144656245402045,1.275787680380585,0.046344126326387576,False,False,,,,,,
12.0,0.39724930888736765,3.2227259437300204,0.04161220138556731,0.04713481761295977,False,False,,,,,,
13.0,0.37351809286978277,3.0302040089522393,3.8972526882391865,0.07897873219567342,True,False,0.1117753839332202,-0.1117753839332202,0.03850675650627577,-0.03850675650627577,0.19815123975228807,0.18211888852866315
14.0,0.25803023717616635,2.0932968818586786,10.096073890154468,0.07178927745183986,False,False,,,,,,
15.0,0.17877665263836853,1.450344012440399,0.20988060049868737,0.09710431233377802,False,False,,,,,,
16.0,0.3225009752101903,2.6163223860580582,0.8303105225221888,0.05964875403502135,False,False,,,,,,
17.0,0.22359128144402107,1.8139073055147643,0.11727736847516805,0.08469808047108726,False,False,,,,,,
18.0,0.346817329494863,2.8135913153096483,0.024191462078876225,0.05843687435384277,False,False,,,,,,
19.0,0.41244632619792465,3.3460133122876137,1.7327746046716856,0.04669005654431982,False,False,,,,,,
20.0,0.31699203847402435,2.5716305692447454,1.1013619721245058,0.0791483094307861,False,False,,,,,,
21.0,0.41769337531871453,3.3885805388410266,3.8510404974150614,0.04521294031717029,True,True,0.04829134377514669,-0.04829134377514669,0.016375722939842494,-0.016375722939842494,0.16193110544961495,0.24845079769243641
22.0,0.24335560586758925,1.9742474235593483,2.1063544743454785,0.07868613631187926,False,False,,,,,,
23.0,0.47026945627383465,3.8151094120775473,2.7772199846365755,0.05325569227040228,True,False,0.0991015535439625,-0.0991015535439625,0.024635091445588158,-0.024635091445588158,0.1947833547135979,0.26617711787353265
24.0,0.4499931889931271,3.650616104863091,4.919959325336713,0.03220120565094578,True,True,-0.029994274711801865,0.029994274711801865,-0.01595405626911439,0.01595405626911439,0.2575132066262093,0.1879455738041264
25.0,0.365197526504322,2.9627025571118275,2.3359854666409245,0.03591942101583385,True,True,-0.010924100049687416,0.010924100049687416,-0.002447147061922145,0.002447147061922145,0.18450669363559696,0.1867028700731873
26.0,0.3366277280763861,2.7309271240500883,7.605259460187712,0.04965930854780849,False,False,,,,,,
27.0,0.26749506059056183,2.1700812368921163,11.61595971083358,0.08830380825735548,False,False,,,,,,
