event_id,energy_gev,mean_decay_length_m,decay_z_m,opening_angle_rad,in_decay_volume,detected,x_plus_base_at_detector_m,x_minus_base_at_detector_m,x_plus_at_detector_m,x_minus_at_detector_m
0.0,0.31339864703100506,2.542478810965213,0.41574221213815443,0.06748073558332245,False,False,,,,
1.0,0.3745148572584518,3.038290362743885,1.3830777099065932,0.0392507806390358,False,False,,,,
2.0,0.17261423392423916,1.4003507557578982,0.7961489715184736,0.09976898851858824,False,False,,,,
3.0,0.23194563572422133,1.8816828652943964,0.4753554741843708,0.090092119345853,False,False,,,,
4.0,0.4705210847225896,3.8171507737913144,0.182087903753079,0.05054077346203697,False,False,,,,
5.0,0.242428477128486,1.966725996148803,0.24648523182198037,0.05770885798074318,False,False,,,,
6.0,0.2594197201628572,2.104569205735394,1.83374852062222,0.08317802683531053,False,False,,,,
7.0,0.37753660207332396,3.062804578860448,0.1986131023805868,0.043795169281176716,False,False,,,,
8.0,0.40932385331346277,3.3206819293293064,1.8526210309793414,0.04189291934764721,False,False,,,,
9.0,0.35244613866553853,2.8592556095974078,1.0188732561591212,0.07937174554731431,False,False,,,,
10.0,0.285272965702778,2.3143063236286525,1.977137471611356,0.0751343389509157,False,False,,,,
11.0,0.4202783848894427,3.409551695296174,1.157849532442892,0.04238930533263613,False,False,,,,
12.0,0.24619447727815674,1.9972780603435232,1.3407996871468548,0.10048095696357828,False,False,,,,
13.0,0.4508761423760793,3.6577791551458314,1.3771891930084437,0.05232566938127279,False,False,,,,
14.0,0.38556568964465154,3.127941378954754,1.9054904353709465,0.05051723517013135,False,False,,,,
15.0,0.19236686773870285,1.5605960325317338,1.8866960215103072,0.12132553063480125,False,False,,,,
16.0,0.3329204190148831,2.7008511973545968,2.983328516239655,0.044312838262691646,True,True,0.06270059511376794,-0.06270059511376794,0.07920059511376792,-0.07920059511376792
17.0,0.1910519918423838,1.5499289663618234,2.2660312897107793,0.08840356234593758,True,True,0.13857977433194565,-0.13857977433194565,0.15507977433194564,-0.15507977433194564
18.0,0.20645067158674713,1.6748523421893193,0.9988160118392402,0.11204348624672178,False,False,,,,
19.0,0.43942779378779684,3.5649032477926896,7.111932806398526,0.03996447896830248,False,False,,,,
